Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
CUI,Currie Rose Resources Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.currierose.com,https://logo.clearbit.com/currierose.com,VAN,CURRIE ROSE RESOURCES INC,Currie Rose Resources Inc.,ca_market,,1504929,CUI.V,TSXV
CUR,Consolidated Uranium Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://consolidateduranium.com,https://logo.clearbit.com/consolidateduranium.com,VAN,CONSOLIDATED URANIUM INC,Consolidated Uranium Inc.,ca_market,,128274840,CUR.V,TSXV
CUSN,Cornish Metals Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cornishmetals.com,https://logo.clearbit.com/cornishmetals.com,VAN,CORNISH METALS INC,Cornish Metals Inc.,ca_market,,77537600,CUSN.V,TSXV
CUU,Copper Fox Metals Inc,Basic Materials,Copper,EQUITY,,https://www.copperfoxmetals.com,https://logo.clearbit.com/copperfoxmetals.com,VAN,COPPER FOX METALS INC,Copper Fox Metals Inc.,ca_market,,104837200,CUU.V,TSXV
CVB,Compass Gold Corp,Basic Materials,Gold,EQUITY,,https://compassgoldcorp.com,https://logo.clearbit.com/compassgoldcorp.com,VAN,COMPASS GOLD CORPORATION,Compass Gold Corporation,ca_market,,7353503,CVB.V,TSXV
CVI.P,Compass Venture Inc,,,,,,,,,,,,,CVI.P.V,TSXV
CVV,Canalaska Uranium Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.canalaska.com,https://logo.clearbit.com/canalaska.com,VAN,CANALASKA URANIUM LTD,CanAlaska Uranium Ltd.,ca_market,,47427668,CVV.V,TSXV
CVW,Cvw Cleantech Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.titaniumcorporation.com,https://logo.clearbit.com/titaniumcorporation.com,VAN,CVW CLEANTECH INC,CVW CleanTech Inc.,ca_market,,,CVW.V,TSXV
CVX,Cematrix Corp,Basic Materials,Building Materials,EQUITY,,https://www.cematrix.com,https://logo.clearbit.com/cematrix.com,VAN,CEMATRIX CORPORATION,CEMATRIX Corporation,ca_market,,23746046,CVX.V,TSXV
CVY.P,Cavalry Capital Corp,,,,,,,,,,,,,CVY.P.V,TSXV
CWC,Cwc Energy Services Corp,Energy,Oil & Gas Equipment & Services,EQUITY,,https://www.cwcenergyservices.com,https://logo.clearbit.com/cwcenergyservices.com,VAN,CWC ENERGY SERVICES CORP,CWC Energy Services Corp.,ca_market,,95905344,CWC.V,TSXV
CWV,Crown Point Energy Inc,Energy,Oil & Gas E&P,EQUITY,,https://www.crownpointenergy.com,https://logo.clearbit.com/crownpointenergy.com,VAN,CROWN POINT ENERGY INC,Crown Point Energy Inc.,ca_market,,17132204,CWV.V,TSXV
CXG,Canxgold Mining Corp,,,EQUITY,,,,VAN,CANXGOLD MINING CORP,,ca_market,,,CXG.V,TSXV
CYF,Canyon Creek Food CO Ltd,Consumer Defensive,Packaged Foods,EQUITY,,https://www.canyoncreekfood.com,https://logo.clearbit.com/canyoncreekfood.com,VAN,Canyon Creek Food Co Ltd,Canyon Creek Food Company Ltd.,ca_market,,3163401,CYF.V,TSXV
CYL,Ceylon Graphite Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.ceylongraphite.com,https://logo.clearbit.com/ceylongraphite.com,VAN,CEYLON GRAPHITE CORP,Ceylon Graphite Corp.,ca_market,,12994600,CYL.V,TSXV
CYM,Cymat Technologies Ltd,Industrials,Metal Fabrication,EQUITY,,https://www.cymat.com,https://logo.clearbit.com/cymat.com,VAN,CYMAT TECHNOLOGIES LTD,Cymat Technologies Ltd.,ca_market,,22064222,CYM.V,TSXV
CYP,Cypress Development Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cypressdevelopmentcorp.com,https://logo.clearbit.com/cypressdevelopmentcorp.com,VAN,CYPRESS DEVELOPMENT CORP,Cypress Development Corp.,ca_market,,144858592,CYP.V,TSXV
CZO,Ceapro Inc,Healthcare,Biotechnology,EQUITY,,https://www.ceapro.com,https://logo.clearbit.com/ceapro.com,VAN,Ceapro Inc,Ceapro Inc.,ca_market,,52826344,CZO.V,TSXV
CZZ,Cleghorn Minerals Ltd,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.cleghornminerals.com,https://logo.clearbit.com/cleghornminerals.com,VAN,CLEGHORN MINERALS LTD,Cleghorn Minerals Ltd.,ca_market,,1911558,CZZ.V,TSXV
DAC,Datable Technology Corp,Technology,Software—Application,EQUITY,,https://www.datablecorp.com,https://logo.clearbit.com/datablecorp.com,VAN,DATABLE TECHNOLOGY CORPORATION,Datable Technology Corporation,ca_market,,2092994,DAC.V,TSXV
